place_id,Name,District,Description,Region,Category,Entry_fee_id,Estimated_time_to_visit,Latitude,Longitude
CE-KAN175,Kandy Lake,Kandy,A serene lake in central Kandy,Central,Parks,CE-KAN175-FEE,1.00,7.2933,80.637
SO-HAM176,Yala National Park,Yala,National park with elephants and leopards,Southern,Nature Reserve,SO-HAM176-FEE,4.00,6.3613,81.5091
NC-MON177,Polonnaruwa Museum,Polonnaruwa,Museum with artifacts from ancient city,North Central,Museum,NC-MON177-FEE,1.00,7.9455,81.0017
WE-COL178,Bellanwila Rajamaha Viharaya,Colombo,A temple with a sacred Bo tree,Western,Religious Site,WE-COL178-FEE,1.00,6.8839,79.9605
EA-BAT179,Pigeon Island National Park,Trincomalee,A coral island with snorkeling opportunities,Eastern,Nature Reserve,EA-BAT179-FEE,3.00,8.77,81.1633
UV-BAD180,Haputale Viewpoint,Badulla,A scenic view over valleys and tea estates,Uva,Adventure,UV-BAD180-FEE,1.00,6.8455,80.965
CE-KAN181,Temple of the Sacred Tooth Relic,Kandy,A famous Buddhist temple holding a sacred tooth relic,Central,Religious Site,CE-KAN181-FEE,1.50,7.293,80.639
SO-HAM182,Fort Galle,Galle,A historic fort with colonial buildings and museums,Southern,Historical Site,SO-HAM182-FEE,2.00,6.025,80.217
WE-COL183,Viharamahadevi Park,Colombo,A large city park with gardens and a pond,Western,Parks,WE-COL183-FEE,1.50,6.9271,79.8603
NC-MON184,Anuradhapura Ancient City,Anuradhapura,Ancient city ruins with stupas and palaces,North Central,Historical Site,NC-MON184-FEE,3.00,8.3129,80.4248
UV-BAD185,Ravana Falls,Badulla,A wide scenic waterfall with a natural pool,Uva,Nature,UV-BAD185-FEE,1.00,6.8622,81.0569
NW-KUR186,Elephant Rock,Kurunegala,A large rock with elephant-shaped features,North Western,Adventure,NW-KUR186-FEE,1.00,7.48,80.366
EA-BAT187,Koddiyar Bay,Trincomalee,A beautiful bay popular for fishing and boating,Eastern,Beach,EA-BAT187-FEE,2.00,8.565,81.234
SO-GAM188,Martin Wickramasinghe Folk Museum,Galle,A museum showcasing traditional rural life,Southern,Museum,SO-GAM188-FEE,1.50,6.0345,80.216
WE-NEG189,Angurukaramulla Temple,Negombo,A colorful Buddhist temple with murals,Western,Religious Site,WE-NEG189-FEE,1.00,7.2094,79.832
CE-KAN190,Udawatta Kele Sanctuary,Kandy,A forest reserve with rare birds and trails,Central,Nature Reserve,CE-KAN190-FEE,2.00,7.2901,80.6367
NC-MON191,Minneriya National Park,Polonnaruwa,Known for large herds of wild elephants,North Central,Nature Reserve,NC-MON191-FEE,4.00,8.0411,81.0027
WE-COL192,Gangaramaya Temple,Colombo,A Buddhist temple with eclectic architecture,Western,Religious Site,WE-COL192-FEE,1.50,6.9279,79.8505
CE-MAT193,Spice Garden,Dambulla,A garden showing Sri Lankan spices and herbs,Central,Cultural Village,CE-MAT193-FEE,1.00,7.8738,80.654
SO-GAM194,Unawatuna Beach,Galle,A calm beach popular with tourists,Southern,Beach,SO-GAM194-FEE,2.00,6.0315,80.252
NC-MON195,Polonnaruwa Ancient City,Polonnaruwa,Well-preserved ancient ruins,North Central,Historical Site,NC-MON195-FEE,3.00,7.9438,81.002
WE-NEG196,Kosgoda Turtle Hatchery,Galle,A conservation center protecting sea turtles,Western,Wildlife Park,WE-NEG196-FEE,1.00,6.2239,80.0237
CE-KAN197,Kandy Lake,Kandy,A serene lake in central Kandy,Central,Parks,CE-KAN197-FEE,1.00,7.2933,80.637
SO-HAM198,Yala National Park,Yala,National park with elephants and leopards,Southern,Nature Reserve,SO-HAM198-FEE,4.00,6.3613,81.5091
NC-MON199,Polonnaruwa Museum,Polonnaruwa,Museum with artifacts from ancient city,North Central,Museum,NC-MON199-FEE,1.00,7.9455,81.0017
WE-COL200,Bellanwila Rajamaha Viharaya,Colombo,A temple with a sacred Bo tree,Western,Religious Site,WE-COL200-FEE,1.00,6.8839,79.9605
EA-BAT201,Pigeon Island National Park,Trincomalee,A coral island with snorkeling opportunities,Eastern,Nature Reserve,EA-BAT201-FEE,3.00,8.77,81.1633
UV-BAD202,Haputale Viewpoint,Badulla,A scenic view over valleys and tea estates,Uva,Adventure,UV-BAD202-FEE,1.00,6.8455,80.965
NW-PUT203,Wilpattu Lake,Putlam,A scenic freshwater lake in a wildlife park,North Western,Nature Reserve,NW-PUT203-FEE,2.00,8.0384,79.9945
WE-NEG204,Negombo Beach,Negombo,A popular beach known for sunsets and seafood,Western,Beach,WE-NEG204-FEE,2.00,7.2071,79.839
CE-MAT205,Ritigala Forest Monastery,Anuradhapura,Ancient Buddhist monastery ruins in forest,Central,Historical Site,CE-MAT205-FEE,1.50,8.1022,80.5527
SO-GAM206,Galle Lighthouse,Galle,A historic lighthouse near the fort,Southern,Historical Site,SO-GAM206-FEE,0.50,6.0341,80.2176
NC-MON207,Mihintale,Anuradhapura,The cradle of Buddhism in Sri Lanka,North Central,Religious Site,NC-MON207-FEE,2.00,8.3595,80.5617
WE-COL208,Borella Cemetery,Colombo,A large colonial-era cemetery with historical graves,Western,Historical Site,WE-COL208-FEE,1.00,6.9312,79.8884
EA-TRI209,Marble Beach,Trincomalee,A white sandy beach with clear waters,Eastern,Beach,EA-TRI209-FEE,2.00,8.5722,81.241
UV-BAD210,Lindula Tea Factory,Badulla,A working tea factory with guided tours,Uva,Cultural Village,UV-BAD210-FEE,1.00,6.8421,80.9704
NC-MON211-FEE,Medirigiriya Ancient City,Medirigiriya,Ancient city ruins with temples and stupas,North Central,Historical Site,NC-MON211-FEE,2.00,7.9132,81.1551
SO-HAM212,Induruwa Beach,Induruwa,A quiet beach with golden sand and calm waters,Southern,Beach,SO-HAM212-FEE,2.00,6.3335,80.12
CE-KAN213,Bahirawakanda Temple,Kandy,A hilltop temple with panoramic views of the city,Central,Religious Site,CE-KAN213-FEE,1.00,7.2905,80.6275
WE-COL214,Colombo National Museum,Colombo,Largest museum of Sri Lankan history and art,Western,Museum,WE-COL214-FEE,2.00,6.9271,79.8587
EA-TRI215,Nilaveli Beach,Trincomalee,A sandy beach with clear water and coral reefs,Eastern,Beach,EA-TRI215-FEE,2.00,8.7167,81.1983
UV-BAD216,Diyaluma Falls,Badulla,Second highest waterfall in Sri Lanka with pools,Uva,Nature,UV-BAD216-FEE,1.50,6.853,81.01
NW-PUT217,Chilaw Beach,Chilaw,A peaceful beach town popular with locals,North Western,Beach,NW-PUT217-FEE,1.50,7.4667,79.7833
NC-MON218,Ramba Viharaya,Anuradhapura,Ancient monastery with old inscriptions,North Central,Historical Site,NC-MON218-FEE,1.00,8.3034,80.4199
SO-GAM219,Mulkirigala Rock Temple,Mulkirigala,A temple complex built on a rock hill,Southern,Religious Site,SO-GAM219-FEE,2.00,6.1577,81.0781
WE-NEG220,Angurukaramulla Temple,Negombo,A Buddhist temple famous for its giant Buddha statue,Western,Religious Site,WE-NEG220-FEE,1.00,7.2095,79.8305
CE-MAT221,Minneriya Tank,Minneriya,A large ancient reservoir surrounded by wildlife,Central,Nature Reserve,CE-MAT221-FEE,2.00,8,80.92
SO-HAM222,Martin Wickramasinghe Folk Museum,Galle,A museum showing rural life of Sri Lanka,Southern,Museum,SO-HAM222-FEE,1.00,6.0329,80.2147
WE-COL223,Galle Face Green,Colombo,A large ocean-side urban park,Western,Parks,WE-COL223-FEE,1.00,6.9271,79.8512
NC-MON224,Wilpattu National Park,Wilpattu,Known for leopard sightings and wild elephants,North Western,Nature Reserve,NC-MON224-FEE,4.00,8.1478,79.9271
UV-BAD225,Horton Plains National Park,Nuwara Eliya,A scenic park with cloud forests and trails,Central,Nature Reserve,UV-BAD225-FEE,3.00,6.8,80.8
EA-TRI226,Koneswaram Temple,Trincomalee,Ancient Hindu temple on a cliff,Eastern,Religious Site,EA-TRI226-FEE,1.00,8.5776,81.2331
NW-KUR227,Mihindu Shrine,Kurunegala,A historic Buddhist shrine,North Western,Religious Site,NW-KUR227-FEE,0.50,7.485,80.364
SO-HAM228,Galle Dutch Fort,Galle,A UNESCO World Heritage site with colonial architecture,Southern,Historical Site,SO-HAM228-FEE,2.00,6.032,80.217
WE-COL229,Viharamahadevi Park,Colombo,A large city park with flowers and playgrounds,Western,Parks,WE-COL229-FEE,1.00,6.927,79.86
NC-MON230,Arankele Cave Temple,Kurunegala,A historic cave temple with ancient paintings,North Western,Religious Site,NC-MON230-FEE,1.00,7.45,80.3645
SO-GAM231,Galle Lighthouse,Galle,A lighthouse offering sea views near Galle Fort,Southern,Historical Site,SO-GAM231-FEE,0.50,6.0341,80.2176
CE-KAN232,Kandy Lake,Kandy,A tranquil lake in the center of Kandy city,Central,Parks,CE-KAN232-FEE,1.00,7.2933,80.6391
UV-BAD233,Bahirawa Kanda Temple,Kandy,A temple perched on a hill with city views,Uva,Religious Site,UV-BAD233-FEE,1.00,7.294,80.6405
WE-NEG234,Negombo Beach,Negombo,A long sandy beach with seafood vendors,Western,Beach,WE-NEG234-FEE,2.00,7.205,79.84
NC-MON235,Polonnaruwa Museum,Polonnaruwa,Exhibits ancient artifacts and sculptures,North Central,Museum,NC-MON235-FEE,1.00,7.9437,81.002
SO-HAM236,Unawatuna Beach,Galle,A popular beach with calm water for swimming,Southern,Beach,SO-HAM236-FEE,2.00,6.0315,80.252
EA-TRI237,Pigeon Island National Park,Trincomalee,A coral island famous for snorkeling,Eastern,Nature Reserve,EA-TRI237-FEE,3.00,8.774,81.167
NW-KUR238,Elephant Rock,Kurunegala,A giant rock formation resembling an elephant,North Western,Adventure,NW-KUR238-FEE,1.00,7.48,80.366
WE-COL239,Gangaramaya Temple,Colombo,A temple combining modern architecture with traditions,Western,Religious Site,WE-COL239-FEE,1.50,6.9279,79.8505
CE-MAT240,Spice Garden,Dambulla,A garden showcasing Sri Lankan spices and herbs,Central,Cultural Village,CE-MAT240-FEE,1.00,7.8738,80.654
SO-HAM241,Rekawa Turtle Conservation Project,Hambantota,A conservation site where you can see sea turtles laying eggs,Southern,Nature Reserve,SO-HAM241-FEE,2.00,6.1667,81.1347
NC-MON242,Isurumuniya Temple,Anuradhapura,Ancient rock temple with beautiful carvings and statues,North Central,Religious Site,NC-MON242-FEE,1.00,8.3277,80.3995
CE-KAN243,Kandy View Point,Kandy,A scenic viewpoint overlooking the city of Kandy,Central,Nature,CE-KAN243-FEE,0.50,7.2906,80.628
WE-COC244,Colombo Dutch Hospital,Colombo,A historic hospital complex turned shopping and dining area,Western,Cultural Site,WE-COC244-FEE,1.00,6.931,79.8486
EA-BAT245,Baticaloa Lagoon,Baticaloa,A large lagoon with rich birdlife and boat rides,Eastern,Nature,EA-BAT245-FEE,2.00,7.7154,81.7005
UV-MON246,Rawana Falls,Bandarawela,A majestic waterfall surrounded by lush forest,Uva,Nature,UV-MON246-FEE,1.50,6.8401,81.0456
NW-PUT247,Paravi Dupatha Temple,Chilaw,An ancient Buddhist temple with historical significance,North Western,Religious Site,NW-PUT247-FEE,1.00,7.4645,79.789
NC-MON248,Mihintale,Anuradhapura,The birthplace of Buddhism in Sri Lanka with ancient ruins,North Central,Religious Site,NC-MON248-FEE,2.00,8.3453,80.4
SO-GAM249,Koggala Lake,Galle,A large freshwater lagoon known for its biodiversity,Southern,Nature,SO-GAM249-FEE,2.00,5.987,80.316
WE-COL250,Independence Memorial Hall,Colombo,A monument celebrating Sri Lanka’s independence,Western,Historical Site,WE-COL250-FEE,1.00,6.9306,79.8539
CE-MAT251,Dambulla Cave Temple,Dambulla,A UNESCO World Heritage site with colorful cave murals,Central,Religious Site,CE-MAT251-FEE,2.00,7.8586,80.652
EA-TRI252,Trincomalee Harbour,Trincomalee,One of the world’s finest natural harbors,Eastern,Historical Site,EA-TRI252-FEE,1.00,8.569,81.234
UV-BAD253,Demodara Nine Arch Bridge,Badulla,A famous colonial-era railway bridge,Uva,Historical Site,UV-BAD253-FEE,1.00,6.825,81.0405
NW-KUR254,Ethagala Rock,Kurunegala,A large rock offering panoramic views,North Western,Nature,NW-KUR254-FEE,1.00,7.4862,80.359
SO-HAM255,Yala National Park,Tissamaharama,Sri Lanka’s most famous wildlife park with leopards,Southern,Nature Reserve,SO-HAM255-FEE,4.00,6.34,81.5
WE-NEG256,St. Mary's Church,Negombo,A colonial-era Catholic church with intricate architecture,Western,Religious Site,WE-NEG256-FEE,1.00,7.2101,79.8403
NC-MON257,Thuparamaya Dagoba,Anuradhapura,The oldest dagoba in Sri Lanka dating to 3rd century BC,North Central,Historical Site,NC-MON257-FEE,1.00,8.33,80.3998
SO-GAM258,Kanneliya Rainforest Reserve,Kanneliya,An untouched rainforest with rare flora and fauna,Southern,Nature Reserve,SO-GAM258-FEE,3.00,6.1452,80.3451
CE-KAN259,Udawattakele Forest Reserve,Kandy,A forest reserve and birdwatching hotspot,Central,Nature Reserve,CE-KAN259-FEE,2.00,7.29,80.6295
EA-TRI260,Fort Frederick,Trincomalee,A historic fort with views over the harbor,Eastern,Historical Site,EA-TRI260-FEE,1.00,8.5765,81.2356
UV-MON261,St. Clair's Falls,Nuwara Eliya,A beautiful waterfall in a tea plantation area,Uva,Nature,UV-MON261-FEE,1.00,6.927,80.744
NW-PUT262,Mundal Lake,Chilaw,A calm freshwater lake popular for boating,North Western,Nature,NW-PUT262-FEE,2.00,7.473,79.79
SO-HAM263,Rahulana National Park,Tissamaharama,A lesser-known park with elephants and wildlife,Southern,Nature Reserve,SO-HAM263-FEE,3.00,6.3,81.46
WE-COL264,Borella Cemetery,Colombo,A large cemetery with historical graves,Western,Historical Site,WE-COL264-FEE,1.00,6.94,79.88
NC-MON265,Isurupaya Archaeological Site,Anuradhapura,Ancient ruins of a royal palace,North Central,Historical Site,NC-MON265-FEE,1.00,8.3305,80.3985
CE-MAT266,Handunugoda Tea Estate,Dambulla,A tea plantation with tours and tastings,Central,Cultural Village,CE-MAT266-FEE,1.50,7.9,80.6
EA-BAT267,Passikudah Bay,Batticaloa,A bay with calm waters for swimming,Eastern,Beach,EA-BAT267-FEE,2.00,7.7171,81.8022
UV-BAD268,Little Adam’s Peak,Ella,A moderate hike with beautiful views,Uva,Nature,UV-BAD268-FEE,2.00,6.873,81.0445
NW-KUR269,Ritigala Forest Reserve,Ritigala,A mystical forest with ancient ruins,North Western,Nature Reserve,NW-KUR269-FEE,3.00,7.6,80.3833
SO-GAM270,Kushtarajagala,Galle,Ancient Buddha statues carved in rock,Southern,Historical Site,SO-GAM270-FEE,1.00,6.041,80.212
CE-MAT271,Minneriya National Park,Minneriya,Home to large herds of wild elephants  known for spectacular sightings,Central,Nature Reserve,CE-MAT271-FEE,4.00,7.95,80.9
NW-PUT272,Chilaw Lagoon,Chilaw,A calm lagoon ideal for fishing and bird watching,North Western,Nature,NW-PUT272-FEE,2.00,7.461,79.786
WE-COL273,Galle Face Green,Colombo,Popular urban park by the sea for picnics and kite flying,Western,Recreational,WE-COL273-FEE,1.00,6.9271,79.8467
SO-HAM274,Bundala National Park,Tissamaharama,A wetland sanctuary for migratory birds and wildlife,Southern,Nature Reserve,SO-HAM274-FEE,3.00,6.2275,81.14
EA-TRI275,Koneswaram Temple,Trincomalee,An ancient Hindu temple with cliff-top views,Eastern,Religious Site,EA-TRI275-FEE,1.50,8.568,81.2345
UV-BAD276,Bakamuna Ancient City,Badulla,Historic ruins surrounded by natural beauty,Uva,Historical Site,UV-BAD276-FEE,2.00,7,81.0833
NC-MON277,Wilpattu National Park,Anuradhapura,Largest national park with elephants and leopards,North Central,Nature Reserve,NC-MON277-FEE,4.00,8,80.4
CE-KAN278,Tea Museum,Kandy,Interactive museum showcasing Sri Lanka’s tea history,Central,Cultural,CE-KAN278-FEE,1.50,7.2906,80.6337
NW-KUR279,Ridiyagama Safari Park,Ridiyagama,A new safari park home to diverse wild animals,North Western,Nature Reserve,NW-KUR279-FEE,3.00,7.5,80
SO-GAM280,Unawatuna Beach,Galle,Popular beach known for calm waters and coral reefs,Southern,Beach,SO-GAM280-FEE,3.00,6.0322,80.2359
WE-COL281,Gangaramaya Temple,Colombo,A unique temple mixing modern architecture and history,Western,Religious Site,WE-COL281-FEE,1.00,6.925,79.8617
EA-BAT282,Chenkalady Lagoon,Batticaloa,Serene lagoon with boat rides and fishing,Eastern,Nature,EA-BAT282-FEE,2.00,7.7,81.695
UV-BAD283,Ravana Falls,Ella,A wide waterfall surrounded by green hills,Uva,Nature,UV-BAD283-FEE,1.00,6.8734,81.0462
NC-MON284,Jaya Sri Maha Bodhi,Anuradhapura,The oldest sacred fig tree in the world,North Central,Religious Site,NC-MON284-FEE,1.00,8.3456,80.4011
CE-MAT285,Pidurangala Rock,Dambulla,A climbing spot with panoramic views of Sigiriya,Central,Nature,CE-MAT285-FEE,1.50,7.96,80.651
NW-PUT286,Kapparagaha Temple,Chilaw,Historic Buddhist temple with tranquil surroundings,North Western,Religious Site,NW-PUT286-FEE,1.00,7.465,79.789
SO-HAM287,Tissa Wewa,Tissamaharama,A large reservoir popular for birdwatching,Southern,Nature,SO-HAM287-FEE,2.00,6.353,81.45
WE-NEG288,Negombo Beach,Negombo,A lively beach town famous for seafood and sunsets,Western,Beach,WE-NEG288-FEE,3.00,7.215,79.838
EA-TRI289,Mahaweli River Trincomalee,Eastern,A beautiful river flowing into the sea near Trincomalee,Eastern,Nature,EA-TRI289-FEE,2.00,8.565,81.23
UV-BAD290,Ella Rock,Ella,A challenging hike with stunning valley views,Uva,Nature,UV-BAD290-FEE,3.00,6.853,81.044
NC-MON291,Sigiriya Rock Fortress,Sigiriya,Iconic ancient rock fortress with frescoes and gardens,North Central,Historical Site,NC-MON291-FEE,3.00,7.957,80.759
CE-KAN292,Kandy Lake,Kandy,A serene lake in the heart of Kandy city,Central,Nature,CE-KAN292-FEE,1.00,7.294,80.631
NW-KUR293,Angurukaramulla Temple,Kurunegala,Colorful Buddhist temple with giant Buddha statue,North Western,Religious Site,NW-KUR293-FEE,1.00,7.484,80.359
SO-GAM294,Galle Dutch Fort,Galle,A well-preserved colonial fort with museums and shops,Southern,Historical Site,SO-GAM294-FEE,2.00,6.033,80.216
WE-COL295,National Museum Colombo,Colombo,Sri Lanka’s largest museum with cultural exhibits,Western,Cultural,WE-COL295-FEE,2.00,6.925,79.858
EA-BAT296,Arugam Bay,Eastern,Famous surf spot with beautiful beaches and nightlife,Eastern,Beach,EA-BAT296-FEE,3.00,6.854,81.868
UV-BAD297,Tea Plantations,Nuwara Eliya,Vast green tea plantations with factory tours,Uva,Cultural,UV-BAD297-FEE,2.00,6.969,80.789
NC-MON298,Ruwanwelisaya Stupa,Anuradhapura,Massive dagoba considered a sacred Buddhist site,North Central,Religious Site,NC-MON298-FEE,1.00,8.327,80.3985
CE-MAT299,Sigiriya Museum,Sigiriya,Museum detailing history and archaeology of Sigiriya,Central,Cultural,CE-MAT299-FEE,1.00,7.954,80.759
NW-PUT300,Wilpaththu Lagoon,Wilpaththu,A pristine lagoon within Wilpattu National Park,North Western,Nature Reserve,NW-PUT300-FEE,2.00,8,79.85
