Name,District,Description,Region,Category,Eestimated_time_to_visit,Foreign_Adult,Foreign_Child,Local_Adult,Local_Child,Student,Free_Entry,Latitude,Longitude,Main Image,Thumbnail_Image,Gallery_Image 1,Gallery_Image 2,Gallery_Image 3
Delta Falls,Kandy,"A scenic waterfall known for its multiple tiers and crystal-clear waters, ideal for relaxing and nature photography.",Central,Nature,1.5,0,0,0,0,0,Yes,7.092081868,80.657583,,,,,
Diyakerella Ella,Kandy,"A charming waterfall located in a forested area, offering visitors a peaceful spot to enjoy nature and fresh air.",Central,Nature,1.5,0,0,0,0,0,Yes,7.44863425,80.82286278,,,,,
Huluganga Ella Falls,Kandy,"A beautiful waterfall cascading through lush greenery, offering a refreshing retreat for hikers and nature lovers.",Central,Nature,1.5,0,0,0,0,0,Yes,7.401227561,80.74228751,,,,,
Hunnas Ella Falls,Kandy,"A scenic waterfall known for its tranquil pools and serene surroundings, ideal for relaxation and nature photography.",Central,Nature,1.5,0,0,0,0,0,Yes,7.401965666,80.68957954,,,,,
Kabaragala Ella Falls,Kandy,"A picturesque waterfall located in the hills, popular among visitors for its natural beauty and peaceful ambiance.",Central,Nature,1.5,0,0,0,0,0,Yes,6.756608051,80.24997704,,,,,
Kaluwawetuna Ella Falls,Kandy,"A charming waterfall nestled in lush greenery, offering a refreshing retreat for visitors and a great spot for nature photography.",Central,Nature,1.5,0,0,0,0,0,Yes,7.365956878,80.92532908,,,,,
Kosgama Ella Falls,Kandy,"A scenic waterfall known for its crystal-clear waters and tranquil setting, ideal for relaxation and hiking enthusiasts.",Central,Nature,1.5,0,0,0,0,0,Yes,7.401682921,80.74513945,,,,,
"Alu Viharaya, Matale",Mathale,"An ancient Buddhist temple carved into rock, known for its impressive cave paintings and sacred atmosphere ideal for spiritual exploration.",Central,Religious,1.5,0,0,0,0,0,Yes,7.497938335,80.6217839,,,,,
Nalanda Gedige,Mathale,"A mysterious ancient structure blending Hindu and Buddhist architecture, believed to be the geographical center of Sri Lanka.",Central,Historical,1.5,0,0,0,0,0,Yes,7.669971882,80.645856,,,,,
Riverston,Mathale,"A scenic mountain area with breathtaking views, misty trails, and biodiversity, perfect for hiking and nature photography.",Central,Scenic,3,0,0,0,0,0,Yes,7.555680312,80.73597222,,,,,
Wewathenna,Mathale,"A peaceful viewpoint offering panoramic mountain scenery, cool breeze, and a relaxing environment ideal for sunset views and picnics.",Central,Scenic,2,0,0,0,0,0,Yes,7.102314253,81.05469768,,,,,
Pitawala Pathana,Mathale,"A vast grassland plateau with unique biodiversity and the famous ""Mini World's End"" cliff, ideal for scenic walks and nature photography.",Central,Scenic,2,0,0,0,0,0,Yes,7.531798056,80.73978107,,,,,
Wasgamuwa National Park,Mathale,"A rich wildlife sanctuary home to elephants, leopards, and exotic birds, offering jeep safaris and eco-tourism experiences.",Central,Wildlife,6,2500,1500,150,60,100,No,7.753507661,80.92076297,,,,,
Moragahakanda Reservoir,Mathale,"A large water reservoir surrounded by forests and hills, great for peaceful sightseeing, birdwatching, and nature escapes.",Central,Nature,1.5,0,0,0,0,0,Yes,7.7006991,80.771297,,,,,
Kaluganga Reservoir,Mathale,"A scenic man-made lake with calm waters and lush surroundings, perfect for relaxing and enjoying quiet natural views.",Central,Nature,1.5,0,0,0,0,0,Yes,7.564024544,80.83583298,,,,,
Sembuwatta,Mathale,"A serene man-made lake surrounded by pine forest, offering boating, ziplining, and breathtaking mountain views for adventure seekers and families.",Central,Nature,3,1000,500,350,200,200,No,7.435927349,80.69980775,,,,,
Sri Muthumariamman Kovil,Mathale,"A vibrant Hindu temple in Matale, famous for its colorful Dravidian architecture and spiritual ambiance.",Central,Religious,1.5,0,0,0,0,0,Yes,7.480841819,80.62420892,,,,,
National Spice Garden,Mathale,"A rich educational garden displaying Sri Lanka’s famed spices, where visitors can see, smell, and learn about herbal plants and Ayurvedic uses.",Central,Educational,1.5,1000,500,300,150,150,No,7.453161295,80.64097651,,,,,
Padivita Ambalama,Mathale,"An ancient wayside rest stop with traditional architecture, historically used by travelers and pilgrims for shelter and rest.",Central,Historical,1,0,0,0,0,0,Yes,7.449883596,80.60961304,,,,,
Kelebokka Viewpoint,Mathale,"A highland viewpoint with panoramic landscapes of tea estates and mountain ranges, ideal for sunrise, sunset, and relaxation.",Central,Scenic,1.5,0,0,0,0,0,Yes,7.434711792,80.7120424,,,,,
Manigala,Mathale,"A stunning rocky mountain ridge in the Knuckles range, offering panoramic views, hiking trails, and unique rock formations ideal for adventurers.",Central,Scenic,3,0,0,0,0,0,Yes,7.521841501,80.7678795,,,,,
Atanwala Village,Mathale,"A peaceful remote village nestled in the Knuckles foothills, known for its traditional lifestyle, nature trails, and eco-tourism charm.",Central,Nature,2.5,0,0,0,0,0,Yes,7.515084925,80.75834239,,,,,
Knuckles Infinite Pool,Mathale,"A hidden natural pool with crystal-clear waters and breathtaking mountain scenery, popular for hiking and wild swimming experiences.",Central,Nature,2.5,0,0,0,0,0,Yes,7.464535213,80.79785818,,,,,
Knuckles Mountain Range,Mathale,"A UNESCO-listed biodiversity hotspot with cloud forests, wildlife, and trekking paths—perfect for nature lovers and adventure travelers.",Central,Wildlife,6,1500,750,100,50,50,No,7.446151594,80.78084067,,,,,
Sisil Arana,Mathale,"A forest monastery and meditation center surrounded by natural beauty, ideal for spiritual retreats and peaceful getaways.",Central,Religious,1.5,0,0,0,0,0,Yes,7.42386441,80.75174857,,,,,
Big Rock,Mathale,"A large natural rock formation offering scenic views and a quiet escape, popular among hikers and photographers for sunrise or sunset visits.",Central,Scenic,1.5,0,0,0,0,0,Yes,7.915908462,80.70888046,,,,,
Hunnasgiriya Mountain Range,Mathale,"A lush mountainous area within the Knuckles range, known for trekking trails, rich biodiversity, and cool climate ideal for nature exploration.",Central,Nature,3,0,0,0,0,0,Yes,7.389997578,80.6989844,,,,,
Kids Play World,Mathale,"A child-friendly recreational park with fun rides, games, and playgrounds designed for family entertainment and safe adventure for young children.",Central,Urban,2,0,0,0,0,0,Yes,7.420967306,80.60869488,,,,,
Pidurangala,Mathale,"A massive rock adjacent to Sigiriya with panoramic views, an ancient temple, and a popular sunrise trek among adventure seekers and pilgrims.",Central,Historical,2,1000,500,100,50,50,No,7.967625472,80.7613946,,,,,
Sigiriya,Mathale,"A UNESCO World Heritage Site featuring an ancient rock fortress, frescoes, water gardens, and archaeological ruins, rich in history and culture.",Central,Historical,3,6000,3000,100,50,50,No,7.957513381,80.76024602,,,,,
Dambulla Cave Temple,Mathale,"A UNESCO World Heritage Site with ancient caves filled with Buddha statues and vibrant murals, reflecting over 2,000 years of Buddhist heritage.",Central,Religious,2,2000,1000,150,50,50,No,7.856532134,80.64874257,,,,,
Dambulla Golden Temple,Mathale,"Famous for its massive golden Buddha statue and its role as the gateway to the Dambulla cave complex, attracting pilgrims and tourists alike.",Central,Religious,1.5,0,0,0,0,0,Yes,7.855179796,80.65061281,,,,,
Hulangala,Mathale,"A serene mountain area with misty peaks and hidden trails, perfect for nature lovers seeking tranquility and scenic hiking experiences.",Central,Nature,2.5,0,0,0,0,0,Yes,7.585153493,80.58023293,,,,,
Pitakanda Mountain,Mathale,A lesser-known mountain trail offering a peaceful hiking route through dense forest with panoramic views and birdwatching opportunities.,Central,Scenic,2,0,0,0,0,0,Yes,7.463804827,80.70300655,,,,,
German Estate,Mathale,"A scenic tea estate surrounded by hills and mist, ideal for nature walks and learning about Sri Lanka's colonial-era tea culture.",Central,Nature,1.5,0,0,0,0,0,Yes,7.49103445,80.63646535,,,,,
Arangala Mountain Peak,Mathale,"A striking pointed mountain offering panoramic views, steep hiking trails, and an adventurous climb for nature enthusiasts.",Central,Scenic,3,0,0,0,0,0,Yes,7.695745231,80.63898329,,,,,
"Wiltshire, Matale",Mathale,"A quiet rural village known for lush paddy fields and traditional lifestyles, offering a glimpse into authentic Sri Lankan countryside life.",Central,Cultural,1.5,0,0,0,0,0,Yes,7.491464587,80.60339868,,,,,
Telgamu Oya,Mathale,"A pristine river flowing through the Knuckles range, perfect for river bathing, photography, and nature-based picnics.",Central,Nature,2,0,0,0,0,0,,7.587524371,80.78360091,,,,,
Bowathenna Reservoir,Mathale,"A peaceful water reservoir surrounded by greenery, ideal for relaxation, birdwatching, and scenic views of the central hills.",Central,Nature,1.5,0,0,0,0,0,Yes,7.672270744,80.66677864,,,,,
Ederagala Forest Hermitage,Mathale,"A tranquil forest monastery nestled in nature, perfect for meditation and spiritual reflection with ancient ruins and serene forest surroundings.",Central,Religious,2,0,0,0,0,0,Yes,7.915593651,80.6796348,,,,,
Nalanda Reservoir,Mathale,"A calm and scenic water body with panoramic mountain views, used for irrigation and popular among locals for quiet evening strolls.",Central,Nature,1.5,0,0,0,0,0,Yes,7.671268348,80.62359778,,,,,
Nalanda Dam,Mathale,"A historical irrigation structure associated with the ancient Nalanda Reservoir, offering engineering marvels and peaceful natural surroundings.",Central,Historical,1,0,0,0,0,0,Yes,7.670157382,80.62385711,,,,,
Matale Town Viewpoint,Mathale,"A scenic viewpoint offering sweeping views of Matale town and surrounding hills, perfect for photography and peaceful sunsets.",Central,Scenic,1.5,0,0,0,0,0,Yes,7.490831035,80.60437235,,,,,
Sindakatti Sri Kumaran Kovil,Mathale,"A vibrant Hindu temple known for its colorful architecture, religious festivals, and peaceful environment amidst rural surroundings.",Central,Religious,1,0,0,0,0,0,Yes,7.480464868,80.62786214,,,,,
Ibban Katuwa Reservoir,Mathale,"A calm reservoir surrounded by greenery and local farmland, ideal for fishing, birdwatching, and quiet reflection.",Central,Nature,1.5,0,0,0,0,0,Yes,7.869758487,80.6356519,,,,,
Kandalama Reservoir,Mathale,"A large, beautiful lake popular for its mirror-like reflections, kayaking, and views of the Dambulla hills and nearby luxury hotels.",Central,Nature,2,0,0,0,0,0,Yes,7.888635772,80.70958282,,,,,
Sathutu Doopatha (Island of Joy),Mathale,"A small scenic island offering tranquil beaches and crystal-clear waters, perfect for day trips and relaxing nature escapes.",Central,Beach,3,0,0,0,0,0,Yes,7.872762278,80.63279458,,,,,
Navanagala,Mathale,"A peaceful hill with panoramic views of the surrounding landscape, ideal for hiking and nature observation.",Central,Scenic,2,0,0,0,0,0,Yes,7.311273671,80.85846586,,,,,
Alakola Estate,Mathale,"A lush tea estate known for its scenic green hills and tranquil atmosphere, ideal for nature walks and photography.",Central,Nature,1.5,0,0,0,0,0,Yes,7.409122417,80.74441551,,,,,
Lakegala,Mathale,"A prominent rock formation offering challenging hikes and stunning panoramic views from the summit, popular among adventure seekers.",Central,Scenic,3,0,0,0,0,0,Yes,7.466911129,80.8398271,,,,,
Vemadilla Reservoir,Mathale,"A calm reservoir surrounded by greenery, perfect for birdwatching, fishing, and quiet relaxation in nature.",Central,Nature,1.5,0,0,0,0,0,Yes,7.759031717,80.61386796,,,,,
Anuradha Arana,Mathale,"A peaceful forest monastery and meditation center set in tranquil natural surroundings, ideal for spiritual retreats and reflection.",Central,Religious,2,0,0,0,0,0,Yes,7.430649635,80.60888037,,,,,
Manikdena Archaeological Reserve,Mathale,"A protected site featuring ancient ruins and artifacts, offering a glimpse into Sri Lanka's rich historical and cultural heritage.",Central,Historical,2,0,0,0,0,0,Yes,7.766917513,80.6403223,,,,,
Muwagala,Mathale,"A scenic hill with forest trails and panoramic views, popular for hiking and nature exploration.",Central,Nature,2,0,0,0,0,0,Yes,7.452936433,80.60231622,,,,,
Pahangala,Mathale,"A peaceful village surrounded by tea plantations and rolling hills, offering a serene escape and cultural insights into rural Sri Lanka.",Central,Cultural,1.5,0,0,0,0,0,Yes,7.529799246,80.4907852,,,,,
Punchi Lokantha,Mathale,"A quaint village known for its traditional architecture and close-knit community, perfect for experiencing authentic local culture.",Central,Cultural,1.5,0,0,0,0,0,Yes,7.645193895,80.50776661,,,,,
Kiri Amma Water Spring,Mathale,"A sacred natural spring believed to have healing properties, visited by both pilgrims and nature lovers seeking serenity and spiritual connection.",Central,Religious/Nature,1.5,0,0,0,0,0,Yes,7.598999421,80.85049508,,,,,
Minuwan Ella Falls,Mathale,"A lesser-known but stunning waterfall surrounded by rocky cliffs and forest trails, perfect for nature hikes and quiet exploration.",Central,Nature/Waterfall,2,0,0,0,0,0,Yes,6.927653955,80.40587208,,,,,
Nagenahira Gorakadeniya,Mathale,"A quiet forested area rich in biodiversity and natural beauty, perfect for eco-tourism and peaceful walks amidst Eastern greenery.",Eastern,Nature,2,0,0,0,0,0,Yes,7.093605021,80.09025428,,,,,
Opalgala Ella Falls,Mathale,"A scenic waterfall hidden within dense woodland, attracting nature lovers and hikers with its serene atmosphere and cool misty breeze.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.625612907,80.68441048,,,,,
Pitawala Pathana Ella Fall 1,Mathale,"A small but beautiful waterfall located near Pitawala Pathana, adding a refreshing stop for trekkers exploring the unique grass plains nearby.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.553031972,80.74057061,,,,,
Pitawala Pathana Ella Fall 2,Mathale,"Another scenic cascade near Pitawala Pathana, this hidden gem complements the grassland hike with a cool mist and serene ambiance.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.554487778,80.7408871,,,,,
Rathninda Ella Falls,Mathale,"A tall, slender waterfall tucked into the forest, offering a peaceful retreat with the soothing sound of flowing water and fresh mountain air.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.000862342,80.98302181,,,,,
Sera Ella Falls,Mathale,"One of Sri Lanka's most popular twin waterfalls, famous for its cave behind the falls where visitors can sit and enjoy the rushing water.",Central,Waterfall/Nature,2.5,0,0,0,0,0,Yes,7.588395755,80.75554368,,,,,
Wambatuhena Ella Falls,Mathale,"Surrounded by dense jungle, this waterfall is a peaceful destination perfect for a short hike and cooling off in its refreshing stream.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.559607604,80.76720371,,,,,
Watagoda Ella Falls,Mathale,"A serene waterfall nestled in the Watagoda hills, offering a picturesque view and a refreshing break for nature lovers and hikers alike.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.458702906,80.60552038,,,,,
Wedda Peni Ella Falls,Mathale,"A small yet charming fall believed to have historic ties to indigenous communities, surrounded by tranquil forest paths.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.517242172,80.7561177,,,,,
Opalgala Ella Falls ,Mathale,"The first of a trio in the Opalgala area, this graceful fall cascades over rocks and is easily accessible via a forest path.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.625634175,80.68432465,,,,,
Ashburnham Estate Falls,Mathale,"A scenic waterfall tucked inside the historic Ashburnham Estate, offering a serene and secluded nature retreat with estate views and birdlife.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.429784007,80.68408684,,,,,
Balakaduwa Ella Falls,Mathale,"This elegant waterfall gracefully flows down a rocky cliff surrounded by thick greenery, perfect for peaceful nature photography and short hikes.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.425239009,80.61082807,,,,,
Bambarakiri Ella Falls,Mathale,"A famous and easily accessible fall with a suspension bridge nearby, ideal for quick visits and refreshing scenery near Riverston.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.495437461,80.69899037,,,,,
Bambarun Gahana Ella Falls,Mathale,"Hidden within dense forest, this enchanting fall is lesser-known but offers a tranquil environment and untouched beauty for explorers.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.57805723,80.73448065,,,,,
Dumbara Ella Falls,Mathale,"A tall and narrow waterfall nestled in the Dumbara hills, offering captivating views and a cool, misty atmosphere on arrival.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.470442386,80.79048316,,,,,
Halkadura Ella Falls,Mathale,"Flowing gently through rocky formations, this fall offers a refreshing stop for hikers exploring the highland trails of the Central Province.",Central,Waterfall/Nature,1.5,0,0,0,0,0,Yes,7.439409694,80.66468111,,,,,
Kande Sudu Ella Falls,Mathale,"Known for its milky-white water flow, this serene fall is nestled in the hills and attracts those seeking calm, scenic beauty in the mountains.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.509629666,80.71917927,,,,,
Kumbaloluwa Ella Falls,Mathale,"A scenic cascade hidden in rural greenery, ideal for explorers seeking a quiet and unspoiled natural retreat.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.585656566,80.66997651,,,,,
Kurunduwala Ella Falls,Mathale,"Hidden in the highlands, this waterfall is known for its clear, cold waters and forest backdrop, perfect for nature lovers and photographers.",Central,Waterfall/Nature,2,0,0,0,0,0,Yes,7.468645076,80.59416114,,,,,
Anuradha Arana,Mathale,"A spiritual retreat in the heart of nature, Anuradha Arana offers meditation spaces and serene forest paths for peaceful reflection.",Central,Religious/Nature,2,0,0,0,0,0,Yes,7.430737206,80.60885339,,,,,
Vemadilla Reservoir,Mathale,"A large reservoir surrounded by greenery, ideal for relaxing by the water, birdwatching, or quiet scenic photography.",Central,Reservoir/Scenic,1.5,0,0,0,0,0,Yes,7.758196956,80.62582557,,,,,
Manikdena Archaeological Reserve,Mathale,"This ancient forest reserve holds ruins of centuries-old structures, offering a quiet, historical journey into Sri Lanka’s forgotten past.",Central,Historical/Archaeology,2.5,0,0,0,0,0,Yes,7.767534723,80.64029291,,,,,
Muwagala,Mathale,A lesser-known hiking spot with a rocky summit offering panoramic views of surrounding greenery. Ideal for quiet nature escapes.,Central,Nature/Hiking,2,0,0,0,0,0,Yes,7.453064091,80.60229477,,,,,
Pahangala,Mathale,"A peaceful hill in the Matale region surrounded by tea plantations and misty views, perfect for hiking and landscape photography.",Central,Mountain/Hiking,2.5,0,0,0,0,0,Yes,7.529831155,80.49077447,,,,,
Punchi Lokantha,Mathale,"A modest spiritual site nestled in the hills, offering calm surroundings and a few ancient ruins to explore.",Central,Religious/Historical,1.5,0,0,0,0,0,Yes,7.645236429,80.50770224,,,,,
Idalgashinna,Badulla,A scenic mountain village in Badulla known for its picturesque railway station and misty walking trails through tea estates.,Uva,Nature/Scenic,2,0,0,0,0,0,Yes,6.780049998,80.89448478,,,,,
Haldummulla Portuguese Fort,Badulla,"Ruins of an ancient Portuguese fort nestled on a mountain ridge, offering historic insight and sweeping views of the southern plains.",Uva,Historical,1.5,0,0,0,0,0,Yes,6.764511185,80.88280675,,,,,
Kalupahana,Badulla,"A scenic village on the way to Bambarakanda Falls, popular for hiking and nature photography with cool climate and lush greenery.",Uva,Nature,1.5,0,0,0,0,0,Yes,6.760698858,80.85159959,,,,,
Weli Wanguwa (Sandy Bay),Badulla,"A calm and hidden riverside spot with soft sandy shores, ideal for family picnics, natural bathing, and birdwatching.",Uva,Nature/Bathing Spot,2,0,0,0,0,0,Yes,6.774251995,80.8293843,,,,,
"Gala Muduna Sri Sambuddhaloka Temple, Kahataruppa",Badulla,"A peaceful Buddhist temple located atop a rocky hill with panoramic views, perfect for meditation and spiritual retreat.",Uva,Religious/Scenic,1.5,0,0,0,0,0,Yes,7.050932899,81.11307814,,,,,
Madulsima,Badulla,"A dreamy highland village known for its “Mini World’s End,” offering dramatic cliffs, thick mist, and sunrise views above the clouds.",Uva,Scenic/Mountain,2.5,0,0,0,0,0,Yes,7.048039354,81.15802255,,,,,
Dimbulana Hills Spot,Nuwara Eliya,"A beautiful vantage point offering sweeping views of rolling hills and tea estates, perfect for sunrise watchers and landscape photographers.",Central,Scenic/Nature,2,0,0,0,0,0,Yes,7.005632814,80.95364155,,,,,
Memale Mountain Peak,Nuwara Eliya,"A moderately challenging peak known for panoramic views of surrounding mountains and valleys, popular among hikers and adventurers.",Central,Mountain/Hiking,3,0,0,0,0,0,Yes,6.912125665,81.10844492,,,,,
Angry Point Mountain,Nuwara Eliya,"A rugged rocky summit famed for dramatic cliff edges and breathtaking views, attracting thrill-seekers and photographers.",Central,Mountain/Scenic,2,0,0,0,0,0,Yes,6.857468631,81.08179018,,,,,
Wangedigala,Nuwara Eliya,"A peaceful hill covered with dense forest, offering nature trails and quiet spots for birdwatching and reflection.",Central,Nature,2,0,0,0,0,0,Yes,6.762268213,80.83293907,,,,,
Ohiya Devil’s Staircase Camping,Nuwara Eliya,"A popular camping site along the Devil’s Staircase trail, offering adventure seekers an opportunity to experience nature overnight.",Central,Adventure/Camping,24,0,0,0,0,0,Yes,6.791012984,80.8323276,,,,,
Prabhawa Mountain Day View Point,Nuwara Eliya,"A scenic viewpoint ideal for day trips, offering panoramic views of mountains and valleys with spots for picnics and photography.",Central,Scenic,2,0,0,0,0,0,Yes,6.774489286,80.96836686,,,,,
Thangamale Sanctuary,Nuwara Eliya,"A protected natural sanctuary with rich biodiversity, featuring guided trails and opportunities to spot rare flora and fauna.",Central,Nature/Wildlife,3,0,0,0,0,0,Yes,6.772171789,80.92506831,,,,,
Adisham Bungalow,Nuwara Eliya,"A historic colonial-era mansion surrounded by lush gardens, offering visitors a glimpse into British architecture and serene mountain views.",Central,Historical/Scenic,2,800,400,300,150,150,No,6.772464803,80.9311009,,,,,
Sorabora Wewa,Badulla,"An ancient reservoir known for its engineering marvel and tranquil surroundings, ideal for nature walks and birdwatching.",Uva,Historical/Nature,1.5,0,0,0,0,0,Yes,7.362547773,81.00562592,,,,,
Mahiyangana Raja Maha Viharaya,Badulla,"One of the oldest Buddhist temples in Sri Lanka, featuring sacred relics and rich historical significance attracting pilgrims and tourists alike.",Uva,Religious/Historical,2,0,0,0,0,0,Yes,7.321197161,80.99058138,,,,,
Dambana Indigenous Village,Badulla,"A unique cultural experience to learn about the Veddah people, their traditions, lifestyle, and connection to the natural environment.",Uva,Cultural,2,1000,500,300,150,150,No,7.41389951,81.10839121,,,,,
Pilkington Point,Badulla,"A scenic viewpoint overlooking vast valleys and mountains, popular for photography and nature lovers seeking panoramic vistas.",Uva,Scenic,1.5,0,0,0,0,0,Yes,6.765648842,81.05850856,,,,,
Devil’s Staircase View Point,Badulla,A famous lookout spot with dramatic cliff edges offering breathtaking views over the central highlands and valleys below.,Uva,Scenic/Nature,2,0,0,0,0,0,Yes,6.804934952,80.8416436,,,,,
Bogoda Raja Maha Viharaya,Badulla,"An ancient wooden Buddhist temple known for its intricate carvings and historic significance, attracting architecture enthusiasts and pilgrims.",Uva,Religious/Historical,2,0,0,0,0,0,Yes,7.008274861,80.99617022,,,,,
Narangala,Badulla,"A scenic mountain known for its rugged terrain and panoramic views of the surrounding valleys, popular with hikers and climbers.",Uva,Mountain/Hiking,3,0,0,0,0,0,Yes,7.02897183,80.99673175,,,,,
Wevassa View Point,Badulla,"A beautiful lookout offering sweeping views of rolling hills and tea estates, ideal for photography and nature lovers.",Uva,Scenic,1.5,0,0,0,0,0,Yes,6.961704739,81.1040207,,,,,
Narangala Mountain,Badulla,"The larger massif encompassing the Narangala peak, featuring dense forests and multiple trekking routes for adventurous visitors.",Uva,Mountain/Hiking,3,0,0,0,0,0,Yes,7.041199251,81.0216805,,,,,
Kite Mountain,Badulla,A unique hill popular among paragliders and nature enthusiasts for its open spaces and scenic vistas.,Uva,Mountain/Adventure,2,0,0,0,0,0,Yes,7.013618004,81.06040554,,,,,
Namunukula,Badulla,"A prominent mountain range with lush greenery and cool climate, offering trails for trekking and stunning sunrise views.",Uva,Mountain/Hiking,3,0,0,0,0,0,Yes,6.93422772,81.11662371,,,,,
Ella Rock,Badulla,"A famous hiking destination with breathtaking views over Ella town and surrounding mountains, popular for day treks and photography.",Uva,Mountain/Hiking,3,0,0,0,0,0,Yes,6.85669515,81.05305475,,,,,
Sherwood Deck,Badulla,"A scenic viewpoint deck offering panoramic views of the surrounding hills and tea plantations, perfect for sunset watching and photos.",Uva,Scenic,1.5,0,0,0,0,0,Yes,6.763709031,80.96698422,,,,,
Weli Oya Bridge,Badulla,"A historic bridge spanning the Weli Oya river, known for its architectural charm and serene river views, great for a quick stop.",Uva,Historical/Scenic,1,0,0,0,0,0,Yes,6.767536424,80.84681405,,,,,
Mediriya Bunt,Badulla,"A tranquil hilltop spot offering peaceful surroundings, nature walks, and beautiful views of the Uva countryside.",Uva,Nature,2,0,0,0,0,0,Yes,6.985679374,81.05253431,,,,,
Mini World's End,Badulla,"A dramatic cliff edge with breathtaking views dropping into deep valleys, smaller than World's End but equally stunning and accessible.",Uva,Scenic,2,0,0,0,0,0,Yes,7.140611182,81.15969814,,,,,
"St. Mark's Church, Badulla",Badulla,A historic Anglican church featuring colonial architecture and tranquil surroundings in the heart of Badulla town.,Uva,Historical/Religious,1,0,0,0,0,0,Yes,6.990562671,81.05713162,,,,,
SM Kanda,Badulla,A peaceful hilltop area known for hiking trails and panoramic views of the surrounding mountains and valleys.,Uva,Nature/Hiking,2,0,0,0,0,0,Yes,6.972151683,81.07989991,,,,,
Alugolla Hills,Badulla,"Rolling hills covered with tea plantations and forests, offering serene walks and stunning vistas over the Uva region.",Uva,Nature,2,0,0,0,0,0,Yes,6.852256737,80.87685562,,,,,
Badulla Dutch Fort,Badulla,Historic ruins of a 17th-century Dutch fort offering a glimpse into colonial military architecture and panoramic views of Badulla.,Uva,Historical,1.5,0,0,0,0,0,Yes,6.991329723,81.0539579,,,,,
Uva Halpewatte Tea Factory,Badulla,A working tea factory where visitors can learn about tea production processes and sample fresh Uva tea.,Uva,Industrial/Tourism,1.5,800,400,300,150,150,No,6.88950132,81.0345068,,,,,
Madapathana Kanda,Badulla,"A small hill offering beautiful views of the surrounding tea estates and valleys, perfect for short hikes and photography.",Uva,Nature/Hiking,2,0,0,0,0,0,Yes,7.018649386,81.0616843,,,,,
Badulla City View Point,Badulla,"A popular lookout spot giving panoramic views of Badulla city and nearby hills, ideal for sunset watching and photography.",Uva,Scenic,1.5,0,0,0,0,0,Yes,6.98334645,81.05304573,,,,,
Badulla Alugolla Samadhi Statue,Badulla,"A serene monument dedicated to peace and remembrance, situated amidst quiet surroundings for reflection.",Uva,Cultural/Monument,1,0,0,0,0,0,Yes,7.004219264,81.04835841,,,,,
Bambaragala Pathana,Badulla,"Expansive grassland plateau with walking trails, offering scenic views of mountains and wildlife habitats.",Uva,Nature,2,0,0,0,0,0,Yes,6.883705302,81.13988272,,,,,
Kurullangala Prehistoric Cave Art Site,Badulla,"Archaeological site featuring ancient cave paintings, providing a fascinating glimpse into prehistoric Sri Lankan culture.",Uva,Historical/Archaeology,2,0,0,0,0,0,Yes,6.811033409,81.06355718,,,,,
Galapita Gala,Badulla,"A large rocky outcrop providing panoramic views of surrounding valleys and tea plantations, popular among nature lovers and photographers.",Uva,Scenic,1.5,0,0,0,0,0,Yes,6.779947138,80.8518409,,,,,
"Main View Point, Haputale",Badulla,"A must-visit lookout offering breathtaking 360-degree views over the central highlands, ideal for sunrise and sunset photography.",Uva,Scenic,1.5,0,0,0,0,0,Yes,6.759032162,80.94670208,,,,,
Porowagala View Point,Badulla,"A tranquil viewpoint surrounded by lush greenery, offering peaceful vistas of rolling hills and valleys in the Haputale region.",Uva,Scenic,1.5,0,0,0,0,0,Yes,6.830389647,81.01272448,,,,,
Senanayake Children's Park,Badulla,"A family-friendly park in Badulla with play areas, gardens, and spaces for picnics, perfect for children and local families.",Uva,Recreational/Park,2,0,0,0,0,0,Yes,7.001110306,81.05529902,,,,,
Badulla Museum,Badulla,"A small museum showcasing the cultural heritage and history of Badulla and surrounding areas, featuring artifacts and exhibits.",Uva,Museum,1.5,0,0,0,0,0,Yes,6.984370627,81.06232345,,,,,
Gotuwala Ella,Badulla,"A scenic waterfall surrounded by lush greenery, ideal for nature walks and a refreshing stop during trekking routes nearby.",Uva,Waterfall/Nature,1.5,0,0,0,0,0,Yes,6.883533775,81.06572795,,,,,
"Botanical Garden, Badulla",Badulla,"A well-maintained garden featuring a variety of native and exotic plants, perfect for leisurely strolls and botanical study.",Uva,Botanical Garden,2,0,0,0,0,0,Yes,6.990270641,81.06148212,,,,,
